,,,0530,0600,0630,0700,0730,0800,0830,0900,0930,1000,1030,1100,1130,WIAC ADJ begins,1200,1230,1300,TS ADJ begins,1330,1400,1430,1500,1530,1600,1630,1700,1730,1800,1830,1900,1930,2000,2030,2100,2130,2200,2300,2330,2400,0030,0100,0130,0200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYERS,Echelon 2 & 3,CPF,,,SAP CUB,TS Cmdrs Update Brief (CUB),,Supervise Mission Creation,,,Cmdrs Decision Brief (CDB),,SAP Sync,HICOM,,,Lunch,CDR Touch Point,,,,Fireside ,,,Campaign Plan Approval Brief (CPAB),,,,,,,,,,,,,,,,,,,,
,,Commanders,,,,,,,,,,,Submit Msns,Lunch,,,24 - 96 hour Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AOs ,,Review SITREPs,CUB Prep,,,Finalize Missions,,CDB Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RFI Window,,,,,Response Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planners,Leads,,,,CUB,,Direct Planning,,CDB Prep,CDB,,,,Lunch,,Supervise,Submit Tasks,Task Brief to Battle Watch in Player Cells,,Lead Working Groups,,,,CPAB,,,,,,,,,,,,,,,,,,,,
,,AOs ,,,,,Review SITREPs and Campaign Plan Updates,,"Draft Tasks, Generate Movement and Tactical ISR Plan",,,,Finalize Tasks,,,,Finalize Tasks,Prep Task Brief,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 - 3 TA,,,,,,,,,CDB,,Master Knowledge of Commander's Intent,,,,,,,,Serve as CPF's Representative to Battle Watch in Adjudication,,,,,,,,,,,,,,,,,,,,,,,,
,,3 - 1 TA,,Answer clarifying questions about adjudication,,CUB,,Rest,,,,,,,,,Rest,,,,Monitor Adjudication. Read SITREPs as they are written. Draft CUB.,,,,,,,,,,,,,,,,,,,Draft Next Day's CUB,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WIP,Leads,Early work if previous prep not complete,SAP CUB Prep,SAP CUB,CUB,,Direct Planning,,,CDB,,SAP Sync,Submit Orders,Task Brief to WIAC in Player Cell,,Lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AOs ,,,,Duplicate TS Msns & Generate SAPGN Missions,,Generate Operational SCD tasks on TSGN and Tactical SCD Tasks on SAPGN,,,,Prep Task Brief / Working Lunch,,,,,"Deliver EMSO Plan, Tac ISR Plan",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1-3 WIP TA,,,,,,,,,CDB,,SAP Sync,Submit Orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3-1 WIP TA,SAP CUB Prep,,SAP CUB,CUB,,Rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RFI Window,,,,,Response Window,,,,,,,,,,,,,,,,,,,,SAP CUB Prep,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjudication,WIAC,Leads,,,,,,,Respond to RFI,,,,,,Task Brief to WIAC in Player Cell,,Resolve C5ISRT Engagements,,,,"Deliver Heat Maps, Blackout File",,,,,,,,,,,,Produce Theater Update for next move ,,,,,,,,,,,,
,,Rep to TS Adj,,,,,,,,,,,,,,,,,,,,Provide Theater Update to TS Adj,,Available to Support TS Adjudication,,,,,,,,,,,,,,,,,,,,,
,,SMEs,,,,,,,,,,,,,Task Brief to WIAC in Player Cell,,Resolve C5ISRT Engagements,,,,"Deliver Heat Maps, Blackout File",,,Adjudicate SAP Engagements not essential to TS Adj,,,,,,,,,Generate and Submit SAPGN SITREPS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virtual Wizard,Operators,,,,,,,,,,,,,,,,,Prep for Adjudication,,,,,Run VW at Speed,,,,,,,,,,,,Transfer Unit Locations in TSGN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Transfer PIMs,,Load Blackout Entries,,,,,,,,,,,,,Set PLs in TSGN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Build Tactical ISR Overlays,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Battle Watch,Competent Subordinate Commander,,,,,,,,,,,,,,,"Review draft order, prep for Task Brief",,Task Brief to Adj in Player Cells,,Review AGM,"Review Whiteboard Timeline, ID critical events",,"Act as Competent Subordinate Commanders, Interact with Blue and Red TA1 or TA2 as needed.",,,,,,,,,,,,,,,,,,,,,
,,Sensor Detect Analyst,,,,,,,,,,,,,,,,,,,,,,Monitor VW Sensor Log,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TS Adjudicators,TF Leads,,,,,,,Respond to RFI,,,,,,,,"Review draft order, prep for TB",Early Review of Orders ,Task Brief to Adj in Player Cells,,,,,Manage Adjudication of VW and Non-VW engagements,,,,,,,,,,,,,,Submit SITREPS,,,,,,,
,,SMEs,,,,,,,,,,,,,,,,,,,,,,"Adjudicate Engagements, Draft SITREPS",,,,,,,,,,,,Finalize SITREPS,,,,,,,,,
,,Manual Detect Function,,,,,,,,,,,,,,,,Review Tactial ISR Plan,,,ID Manual Detects,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,
